trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes,security,mkt,open,high,low,close,net_trdval,net_trdqty,trades,ind_sec,corp_ind,hi_52_wk,lo_52_wk,pd_source_file,pd_mapped,_pd_lookup_key
2026-03-20,SAKUMA,circuit,circuit,,         1.48,,,"{""status"": ""L""}",SAKUMA EXPORTS LIMITED,N,         1.48,         1.50,         1.45,         1.46,                  2130901.55,1443904,1376,N, ,         3.81,         1.45,pd20032026.csv,True,SAKUMA
2026-03-20,SHIVALIK,"circuit,gainer_loser",circuit,-3.35,       241.80,233.7,,"{""status"": ""L""}",SHIVALIK RASAYAN LIMITED,N,       245.80,       250.20,       231.85,       233.70,                 22972233.05,95789,2309,N, ,       698.05,       231.85,pd20032026.csv,True,SHIVALIK
2026-03-20,SYSTMTXC,"circuit,gainer_loser",circuit,-3.83,        62.43,60.04,,"{""status"": ""L""}",SYSTEMATIX CORP SERVICE L,N,        62.25,        63.53,        59.00,        60.04,                  4322913.22,69361,494,N, ,       177.90,        59.00,pd20032026.csv,True,SYSTMTXC
2026-03-20,VISHWARAJ,circuit,circuit,,         4.96,,,"{""status"": ""L""}",VISHWARAJ SUGAR IND LTD,N,         5.04,         5.15,         4.85,         4.87,                  8833568.14,1772915,2404,N, ,        11.08,         4.85,pd20032026.csv,True,VISHWARAJ
2026-03-20,VLEGOV,"circuit,gainer_loser",circuit,-2.13,        11.27,11.03,,"{""status"": ""L""}",VL E GOV AND IT SOL LTD,N,        11.22,        11.92,        10.96,        11.03,                 13279902.63,1167206,2982,N, ,        65.04,        10.96,pd20032026.csv,True,VLEGOV
2026-03-20,JSWSTEEL,gainer_loser,gainer_loser,3.42,      1130.90,1169.6,,{},JSW STEEL LIMITED,N,      1139.10,      1186.50,      1138.00,      1169.60,               4201735037.20,3580084,88340,Y, ,      1284.70,       905.20,pd20032026.csv,True,JSWSTEEL
2026-03-20,TECHM,gainer_loser,gainer_loser,3.3,      1340.60,1384.8,,{},TECH MAHINDRA LIMITED,N,      1360.70,      1391.00,      1355.60,      1384.80,               4700767738.30,3397016,103776,Y, ,      1854.00,      1209.40,pd20032026.csv,True,TECHM
2026-03-20,TATASTEEL,gainer_loser,gainer_loser,3.29,       190.51,196.77,,{},TATA STEEL LIMITED,N,       193.40,       199.44,       193.34,       196.77,               9242507427.13,46881257,243559,Y, ,       216.45,       125.30,pd20032026.csv,True,TATASTEEL
2026-03-20,COALINDIA,gainer_loser,gainer_loser,3.07,       454.20,468.15,,{},COAL INDIA LTD,N,       456.70,       472.40,       456.20,       468.15,              11175532570.65,23878653,175526,Y, ,       476.00,       356.00,pd20032026.csv,True,COALINDIA
2026-03-20,INFY,"gainer_loser,top_turnover",gainer_loser,2.88,      1220.80,1255.9,34196897254.4,{},INFOSYS LIMITED,N,      1242.00,      1264.80,      1229.20,      1255.90,              34196897254.40,27299975,284225,Y, ,      1728.00,      1215.10,pd20032026.csv,True,INFY
