trade_date,symbol,reason_set,primary_reason,pct_change,prev_close,last_price,turnover,notes
2026-03-20,SASKEN,gainer_loser,gainer_loser,6.87,1098.9,1174.4,,{}
2026-03-20,ACEINTEG,gainer_loser,gainer_loser,6.81,15.86,16.94,,{}
2026-03-20,CREST,gainer_loser,gainer_loser,6.81,309.2,330.25,,{}
2026-03-20,AKASH,gainer_loser,gainer_loser,6.71,24.0,25.61,,{}
2026-03-20,HUBTOWN,gainer_loser,gainer_loser,6.69,185.84,198.28,,{}
2026-03-20,BELRISE,gainer_loser,gainer_loser,6.62,177.27,189.0,,{}
2026-03-20,IOB,gainer_loser,gainer_loser,6.54,31.65,33.72,,{}
2026-03-20,BAJAJCON,gainer_loser,gainer_loser,6.48,344.0,366.3,,{}
2026-03-20,IGPL,gainer_loser,gainer_loser,6.24,362.25,384.85,,{}
2026-03-20,KSCL,gainer_loser,gainer_loser,6.22,766.35,814.0,,{}
2026-03-20,SHRIPISTON,gainer_loser,gainer_loser,6.18,2943.0,3125.0,,{}
2026-03-20,MAPMYINDIA,gainer_loser,gainer_loser,6.05,863.5,915.7,,{}
2026-03-20,MAITHANALL,gainer_loser,gainer_loser,5.97,882.6,935.3,,{}
2026-03-20,ESCORTS,gainer_loser,gainer_loser,5.96,2887.2,3059.4,,{}
2026-03-20,JAYNECOIND,gainer_loser,gainer_loser,5.83,70.15,74.24,,{}
2026-03-20,UNIVCABLES,gainer_loser,gainer_loser,5.77,639.05,675.95,,{}
2026-03-20,MAGADSUGAR,gainer_loser,gainer_loser,5.75,434.45,459.45,,{}
2026-03-20,SCHAEFFLER,gainer_loser,gainer_loser,5.75,3959.0,4186.5,,{}
2026-03-20,BAYERCROP,gainer_loser,gainer_loser,5.58,4468.0,4717.5,,{}
2026-03-20,SARVESHWAR,gainer_loser,gainer_loser,5.57,3.05,3.22,,{}
2026-03-20,ABFRL,gainer_loser,gainer_loser,5.51,56.85,59.98,,{}
2026-03-20,SUDARSCHEM,gainer_loser,gainer_loser,5.51,770.15,812.55,,{}
2026-03-20,DWARKESH,gainer_loser,gainer_loser,5.39,37.65,39.68,,{}
2026-03-20,MAWANASUG,gainer_loser,gainer_loser,5.37,78.39,82.6,,{}
2026-03-20,MARKSANS,gainer_loser,gainer_loser,5.35,161.41,170.05,,{}
2026-03-20,MBLINFRA,gainer_loser,gainer_loser,5.34,20.96,22.08,,{}
2026-03-20,TEGA,gainer_loser,gainer_loser,5.25,1638.9,1725.0,,{}
2026-03-20,RACLGEAR,gainer_loser,gainer_loser,5.22,1188.2,1250.2,,{}
2026-03-20,DHAMPURSUG,gainer_loser,gainer_loser,5.22,120.38,126.66,,{}
2026-03-20,DAVANGERE,gainer_loser,gainer_loser,5.19,3.85,4.05,,{}
2026-03-20,SMSPHARMA,gainer_loser,gainer_loser,5.18,366.1,385.05,,{}
2026-03-20,APEX,gainer_loser,gainer_loser,5.14,357.85,376.25,,{}
2026-03-20,LLOYDSME,gainer_loser,gainer_loser,5.1,1185.4,1245.8,,{}
2026-03-20,ROSSTECH,gainer_loser,gainer_loser,5.07,685.35,720.1,,{}
2026-03-20,OLAELEC,gainer_loser,gainer_loser,5.03,23.48,24.66,,{}
2026-03-20,SHAHALLOYS,gainer_loser,gainer_loser,5.0,58.15,61.06,,{}
2026-03-20,RMDRIP,gainer_loser,gainer_loser,5.0,40.81,42.85,,{}
2026-03-20,IFBAGRO,gainer_loser,gainer_loser,4.99,726.95,763.25,,{}
2026-03-20,TRIVENI,gainer_loser,gainer_loser,4.97,342.75,359.8,,{}
2026-03-20,HERANBA,gainer_loser,gainer_loser,4.96,170.92,179.39,,{}
2026-03-20,SILVERTUC,gainer_loser,gainer_loser,4.95,117.2,123.0,,{}
2026-03-20,CELLO,gainer_loser,gainer_loser,4.94,403.5,423.45,,{}
2026-03-20,PRUDMOULI,gainer_loser,gainer_loser,4.94,11.53,12.1,,{}
2026-03-20,TATAELXSI,gainer_loser,gainer_loser,4.91,4039.3,4237.7,,{}
2026-03-20,VENKEYS,gainer_loser,gainer_loser,4.88,1244.5,1305.2,,{}
2026-03-20,ALMONDZ,gainer_loser,gainer_loser,4.84,13.65,14.31,,{}
2026-03-20,SOFTTECH,gainer_loser,gainer_loser,4.83,253.5,265.75,,{}
2026-03-20,INOXWIND,gainer_loser,gainer_loser,4.83,78.07,81.84,,{}
2026-03-20,BALAMINES,gainer_loser,gainer_loser,4.78,1018.4,1067.1,,{}
2026-03-20,DOMS,gainer_loser,gainer_loser,4.77,2175.0,2278.8,,{}
2026-03-20,BAJAJELEC,gainer_loser,gainer_loser,4.77,337.55,353.65,,{}
2026-03-20,GPIL,gainer_loser,gainer_loser,4.77,250.7,262.65,,{}
2026-03-20,QPOWER,gainer_loser,gainer_loser,4.76,796.6,834.55,,{}
2026-03-20,MANCREDIT,gainer_loser,gainer_loser,4.7,162.74,170.39,,{}
2026-03-20,SEPC,gainer_loser,gainer_loser,4.67,4.93,5.16,,{}
2026-03-20,ACI,gainer_loser,gainer_loser,4.66,574.5,601.25,,{}
2026-03-20,THOMASCOOK,gainer_loser,gainer_loser,4.63,98.77,103.34,,{}
